,OCID,Category,Predicted,kjc9 Notes,kjc9 Comment,CleanText
1340,ocds-591adf-9203793811,"Sacred, cultural, or historical sites",royalties,possible multiple labels,,the contractor shall recognize and respect the rights customs and traditions of indigenous tribal communities over their ancestral lands and shall pay royalties at the rate of 1 of the value of the gross output of minerals sold sec 11 1 j 1
1344,ocds-591adf-9203793811,Financial obligations - community or commodity funds,royalties,model wrong,mentions royalties,the contractor shall allot annually at least 1 of the direct mining and milling costs for the development of the host and neighboring communities these expenses may be charged against its required royalty payments if the host happens to be an indigenous cultural community sec 11 1 j 3
1474,ocds-591adf-9119482338,"Sacred, cultural, or historical sites",royalties,possible multiple labels,,the contractor shall recognize and respect the rights customs and traditions of indigenous tribal communities over their ancestral lands and shall pay royalties at no less than 1 of the value of the gross output of minerals sold sec 11 1 j 1
1475,ocds-591adf-9119482338,Financial obligations - community or commodity funds,royalties,model wrong,mentions royalties,the contractor shall allot annually at least 1 of the direct mining and milling costs for the development of the host and neighboring communities these expenses may be charged against its required royalty payments if the host happens to be an indigenous cultural community sec 11 1 j 3
1599,ocds-591adf-6662917447,Other - financial/fiscal,royalties,model wrong,mentions royalties,"except for income taxes ganoub el wadi and quadra shall be exempted from all taxes and duties whether imposed by the government or municipalities including sales tax value added tax and taxes on the exploration development extracting producing exporting or transporting
of petroleum and lpg as well as any and all withholding taxes that might otherwise be imposed on dividends interest technical service fees patent and trademark royalties and similar items "
1658,ocds-591adf-9845812582,Income tax: other,royalties,model wrong,,loon brunei limited and qaf brunei sendirian berhad shall be severally liable to pay income tax to the government in accordance with the income tax petroleum act cap 119 
1950,ocds-591adf-0122591393,Income tax: rate,royalties,model wrong,,liberia forest products will be taxed on its net taxable income at a rate which is set in accordance with the taxation laws of liberia subject to a maximum aggregate rate of tax of 30 during both the rehabilitation and the regular term of the contract
2083,ocds-591adf-9499174502,"Production Share - Cost Oil features  (basis of calculation, limits on cost recovery - e.g. as % of revenue or production, capex uplift, etc.)",royalties,model wrong,,in each calendar year oilex jpda 06 103 ltd global energy inc bharat petroresources jpda ltd and gspc jpda ltd shall take and receive the following shares of every grade and quality of petroleum as and when it is delivered at the field export point 95 but not more than is equal in value to recoverable costs for the calendar year concerned 
2088,ocds-591adf-6713867467,"Production Share - Cost Oil features  (basis of calculation, limits on cost recovery - e.g. as % of revenue or production, capex uplift, etc.)",royalties,model wrong,mentions royalties,"exxonmobil exploration and production liberia limited can freely take crude oil or natural gas each calendar month up to 70 of the value of the total production of crude oil and natural gas after deducting the royalty paid the amount taken cannot be in excess of what is necessary to recover remaining petroleum costs if petroleum costs for the calendar year exceed 70 the excess shall be carried forward 
"
2150,ocds-591adf-9552222925,"Production Share - Cost Oil features  (basis of calculation, limits on cost recovery - e.g. as % of revenue or production, capex uplift, etc.)",royalties,model wrong,mentions royalties,all expenditures incurred by tullow uganda shall be recovered by 60 of gross oil production and 70 of gas production after deduction of royalties 
2155,ocds-591adf-6713867467,Confidentiality,royalties,model wrong,too much data?,"this contract and all amendments and modifications of and supplements to it are public documents all financial information required to be disclosed under the liberian extractive industries transparency initiative act of numericvalue leiti may be disclosed to the public exxonmobil exploration and production liberia exxonmobil may and national oil company of liberia nocal and the government expect to make public information relating to the timing and amount of royalties and other payments specifically due or paid under the terms of this contract or of taxes fees and other levies payable or paid by exxonmobil and relating to the rates at which royalties taxes fees and other levies become due or are assessed information other than geological reservoir engineering and other technical information that is reasonably necessary in computing the amount of such royalties taxes fees and other levies shall be disclosed within numericvalue years from publication exxonmobil does not have any obligation to make available for publication its estimates of production revenues royalties taxes fees and other levies becoming due more than numericvalue years in advance all data information documents reports and statistics including interpretation and analysis supplied by exxonmobil to nocal or by nocal to exxonmobil pursuant to this contract shall be treated as confidential it shall not be disclosed by any party or by the government to any other person without the express written consent of exxonmobil and nocal for a period of numericvalue years from receipt the confidentiality obligation does not apply to any information which 
 a is or becomes part of the public domain otherwise than by breach of this contract 
 b is lawfully obtained by nocal from another person without any restriction as to use and disclosure or
 c was in nocal s possession prior to disclosure to it by exxonmobil 
the provisions of this article shall not prevent disclosure
 a by nocal or the government 
 i to any agency of the government or to any advisor or consultant to nocal 
 ii to a bona fide potential assignee of all or part or nocal s interest 
 iii to banks investors or other lending institutions for the purpose of seeking external financing 
 iv for the purpose of complying with the government s international obligations for the submission of statistics and related data 
 v to the arbitrators in any arbitration proceeding 
 vi to any person in the case of information relating to geological conditions beneath the seabed of areas surrendered by exxonmobil unless subject to an obligation of confidentiality to a third party disclosed to nocal at the time such information is delivered to nocal after the later of the date of surrender and the second anniversary of the date of receipt by nocal of such information 
 vii to government agencies for obtaining necessary rulings permits licenses and approvals and
 viii as may be required by applicable law or financial stock exchange accounting or reporting practices 
 b by exxonmobil or by any person participating in exxonmobil 
 i to its affiliates advisors or consultants 
 ii to a bona fide potential assignee of all or part or exxonmobil s interest 
 iii to banks investors or other lending institutions for the purpose of seeking external financing 
 iv to non affiliates who shall provide services for the petroleum operations including subcontractors vendors and other service contractors where this is essential for their provision of services 
 v to government agencies for obtaining necessary rulings permits licenses and approvals 
 vi as may be required by applicable law or financial stock exchange accounting or reporting practices 
 vii where article 8 9 a vi is applicable or
 viii to the arbitrators in any proceeding "
2346,ocds-591adf-9686067103,Custom duties,royalties,model wrong,similar language,kosmos energy cameroon shall be liable for the duties and taxes levied by the customs administration under the petroleum code which is the law no 99 013 of the republic of cameroon 
2398,ocds-591adf-9736395382,Audit mechanisms - financial obligations,royalties,possible multiple labels,mentions royalties,the government and the ministry of mines shall each have the power to audit and inspect books and records of mip for purposes of calculating the royalties amounts due an adequate reporting procedure will be set up for the purpose of enabling each party to be informed of the performance of its activities mip shall submit to the ministry of mines quaterly and annual reports of its activities mip is to provide audited financial statements annually in accordance with international finance reporting standards together with production statistics in reasonable detail the accounts should be audited by an internally recognized acounting firm acceptable to the government of aghanistan 
2519,ocds-591adf-7711595368,Capital gains tax,royalties,model wrong,,"camac energy shall pay the government an additional profits tax of 10 within the time set out in the income tax act 
"
2732,ocds-591adf-7919066275,Restrictions on transactions with affiliated parties,royalties,model wrong,mentions royalties,when london mining enters into an agreement to dispose of minerals with affiliated parties the terms of the agreement and the royalty payable will be assessed under 5 2a as determined through an advance pricing agreement entered by the government and london mining pursuant to guidelines of 5 2c 
2734,ocds-591adf-7919066275,Income tax: other,royalties,,,"the chargeable assessable income for the income tax will be calculated according to the income tax act royalties will be allowed as a deductible operating expense provided the royalties are not credited against or considered as part payment of the aggregate income tax liability payable to the government 
the amount of tax losses that can be utilized to offset chargeable income in any year of assessment will be 
 years numericvalue numericvalue an amount of loss such that the tax payable will not be less than numericvalue5 of the income tax due if no losses were carried forward any losses disallowed may be carried forward indefinitely
 years numericvalue thereafter as applicable under the income tax act 
if at any time the act offers a greater utilization of tax losses than described here london mining may take advantage of such greater utilization 
an initial allowance of 40 of the cost of qualifying capital expenditure will be deductible in determining its chargeable income for the year in which the expenditure is incurred with an annual allowance rate of 20 deductible in each subsequent year until the full cost has been deducted 
where an asset that falls within the definition of qualifying capital expenditure is scrapped destroyed or sold for less than the balance of the cost minus the allowances granted the balance is fully deductible against chargeable income in the form of a scrapping allowance in the year the disposal sale or destruction occurs see 5 6c for definition of qualifying capital expenditure 
london mining may elect to defer claiming deductions for the whole or any part of its qualifying capital expenditure in any financial year to subsequent financial years without limit in time however london mining may not defer any deduction that would be initially claimed in any of years numericvalue to numericvalue"
2737,ocds-591adf-7919066275,Financial obligations - community or commodity funds,royalties,model wrong,mentions royalties,london mining will make payments in respect of its community development agreement for the first numericvalue calendar years commencing in the year in which london mining produces and sells at least one million tonnes of iron ore london mining agrees to make payments in accordance with a community development program totaling in aggregate at least 1 of the revenue received by the mining operation on sales in that year attributable up to a maximum of numericvalue million tons of iron ore sold in each such year these payments are treated as additional royalty payments for accounting and other business purposes and will be treated as expenses on social services for purposes of income taxation 
2738,ocds-591adf-7919066275,Audit mechanisms - financial obligations,royalties,model wrong,mentions royalties/too much data,"london mining must provide to the government no later than the end of march following each calendar year after commencement of operations a report showing 
 the previous calendar year 
 the extent to which london mining has achieved its program schedule c 
 how london mining has resolved any operational and development issues over the prior calendar year 
 any market developments for the products of london mining and how london mining has responded to such developments and
 how the market is expected to develop over the following year 
london mining will instruct its auditors to provide a report to the government every six months confirming that during that period all royalties arising from sales made by london mining have been correctly calculated and have either been paid or accrued as appropriate under agreed terms of payment 
london mining will also bi annually submit a written report to the director of mines detailing its compliance with the procurement clause of the agreement "
2765,ocds-591adf-6980768373,Income tax: other,royalties,model wrong,too much data?,"a windfall levy on crude oil condensate will be calculated using the following formula 
wlo numericvalue x m r x p b 
where
wlo windfall levy on crude oil and condensate 
m net production produced and saved 
r royalty 
p market price of crude oil and condensate as stated 
b base price of crude oil and condensate 
the base price for crude oil and condensate will be us numericvalue per barrel this base price will escalate each calendar year by us numericvalue per barrel in the event market price of crude oil condensate exceeds us numericvalue per barrel the numericvalue benefit of windfall levy over and above us numericvalue per barrel will pass on to the government the ceiling would be reviewed when pricing dynamics significantly change in the international market 
for sale of natural gas to parties other than government a windfall levy will be applicable on the difference between the applicable zone price and the third party sale price using the following formula 
wlg numericvalue x pg br x v
where
wlg windfall levy on share of natural gas 
pg third party sale price of natural gas 
br base price 
v volume of gas sold to third party excluding royalty 
the base price will be the applicable zone price where the third party sale price of gas is less or equal to the base price the windfall price share shall be zero the windfall price shall not apply on sales of natural gas made to the government "
2906,ocds-591adf-7143693099,Other - financial/fiscal,royalties,,,"addax petroleum benin and abacan resource shall be released from any tax obligations which by definition are included in the profit oil received by the government as well as in the oil production tax also received by the government 
addax petroleum benin and abacan resource and their subcontractors shall be also exempt from the vat value added tax on the activities strictly related to the petroleum operations from the franchise tax for a period of numericvalue years from the surface royalties and from social security contributions for expatriate personnel 
"
2931,ocds-591adf-7143693099,Income tax: rate,royalties,,,addax petroleum benin and abacan resource shall be required to pay under the conditions and the due dates established by the beninese tax legislation all the taxes and duties to which it is subject in particular income tax equal to 55 of the taxable profit and the export revenue tax at the rate of 3 12 of the free on board value 
3050,ocds-591adf-7120819444,"Production Share - ""Profit Oil features (triggers for variations in split - IRR, factor, production, etc .)",royalties,,,"any petroleum not taken by as royalty or recoverable cost petroleum shall be shared as 40 by the timor sea designated authority and 60 by timor sea 06 102 companies 
"
3073,ocds-591adf-7120819444,"Production Share - Cost Oil features  (basis of calculation, limits on cost recovery - e.g. as % of revenue or production, capex uplift, etc.)",royalties,,,in each calendar year pc timor sea 06 102 ltd kg timor sea 06 102 ltd samsung oil gas timor sea 06 102 ltd and lg timor sea 06 102 shall take and receive the following shares of every grade and quality of petroleum as and when it is delivered at the field export point 95 but not more than is equal in value to recoverable costs for the calendar year concerned 
3078,ocds-591adf-7093801876,Income tax: rate,royalties,,,rv and its successors or assignees must pay a profit tax for each calendar year at a fixed rate of 32 
3219,ocds-591adf-7265722663,Financial obligations - community or commodity funds,royalties,,,the contractor shall allot annually at least 1 of the direct mining and milling costs for the development of technology and the host and neighboring communities these expenses may be charged against its required royalty payments if the host happens to be an indigenous cultural community 
3302,ocds-591adf-7265722663,"Sacred, cultural, or historical sites",royalties,,,the contractor shall recognize and respect the rights customs and traditions of indigenous tribal communities over their ancestral lands it shall pay royalties at the rate of not less than 1 of the value of the gross output of minerals sold sec numericvalue j 1 
3370,ocds-591adf-6872304960,Bonuses,royalties,,,dwm will pay a one time signature bonus of us 100 000 and a us 100 000 bonus at the start of production dwm will pay us 500 000 bonus when average daily crude oil production over a numericvalue day period reaches numericvalue bpd an us 1 million when that average reaches numericvalue bpd 
3566,ocds-591adf-8649797663,"Production Share - Cost Oil features  (basis of calculation, limits on cost recovery - e.g. as % of revenue or production, capex uplift, etc.)",royalties,,,cost oil will be composed of operating development and explortion expenditures on a quarterly basis operating expenditures is the amount of crude oil from the commercial field after royalty tax to which kosmos is entitled for operating expenses development expenditures is the amount of crude oil from the commercial field after royalty tax and operating expenditures to which kosmos is entitled for development expenses exploration expenditures is the amount of crude oil from the commercial field after royalty tax operating expenditures and development expenditures to which kosmos is entitled for exploration expenses the cost oil ceiling on oil distributed according to operating development and exploration expenditures is 80 of gross production after royalties are paid unrecovered operating development and exploration expenditures that cannot be reimbursed as from cost oil will be carried forward for recovery in subsequent quarters until full recovery 
3601,ocds-591adf-8810576476,Infrastructure,royalties,,,"mcc jiangxi is authorized to construct and operate project facilities in accordance with such reasonable safety regulations relating to design construction and operation as required by international mining practice and afghan laws 
railway 
mcc jiangxi commits to construct at its own expense a railway associated with the project and the government commits to assist mcc jiangxi in securing the land and route necessary for the railway 
under the moa mcc jiangxi commits to 1 conduct reconnaissance survey and prepare a feasibility study according to the schedule provided in mcc jiangxi s august numericvalue numericvalue letter numericvalue upon the completion of the feasibility study and on the basis of the railway project being feasible mcc jiangxi will build the railway on a build own operate transfer boot basis a mcc jiangxi will arrange for 100 financing for the construction of the railway b mcc jiangxi will design and build the railway on its own and c mcc jiangxi will own the railway and be responsible for the overall operation and management of the railway upon completion of the railway construction and commencement of operations 3 within numericvalue years before the full recovery of mcc jiangxi s investment the government should form an operating entity or joint venture operating entity with mcc jiangxi to work together to study and formulate relevant issues and policies regarding the operation and management of the railway following the government s takeover 4 after the full recovery of mcc jiangxi s investment mcc jiangxi will transfer the railway to the government 5 mcc jiangxi will provide free training concerning the maintenance operation and management of the railway 
power supply 
mcc jiangxi commits to construct at its own expense one numericvalue megawatt capacity coal fired power plant to supply electrical power to the project and to kabul and the ministry of mines commits to make available sufficient coal resources for mcc jiangxi s use in the power plant and to make available sufficient land to establish the power plant 
the coal resources shall be granted to mcc jiangxi pursuant to a sole source process under the minerals law and on the basis of mcc jiangxi paying a reasonable royalty to be agreed upon 
mcc jiangxi s exploration development exploitation and use of the coal resources shall be at mcc jiangxi s sole expense and in compliance with all applicable requirements under afghan laws including those requirements concerning the payment of royalties and income tax 
the parties shall work cooperatively to locate suitable areas where coal resources are likely to be of a sufficient quantity and quality to fuel the power plant 
mcc jiangxi shall undertake all exploration development and exploitation activities in the areas identified and the ministry of mines shall provide all necessary assistance with respect to making available information and licenses to plan and expedite the necessary coal exploration and mine development 
"
3789,ocds-591adf-8757641437,"Sacred, cultural, or historical sites",royalties,,,the contractor shall recognize and respect the rights customs and traditions of indigenous tribal communities over their ancestral lands and shall pay royalties at no less than 1 of the value of the gross output of minerals sold sec 11 1 j 1
3790,ocds-591adf-8757641437,Financial obligations - community or commodity funds,royalties,,,the contractor shall allot annually at least 1 of the direct mining and milling costs for the development of the host and neighboring communities these expenses may be charged against its required royalty payments if the host happens to be an indigenous cultural community sec 11 1 j 3
3846,ocds-591adf-8082857980,"Sacred, cultural, or historical sites",royalties,,,the contractor shall recognize and respect the rights customs and traditions of indigenous cultural communities over their ancestral lands and shall pay royalties at the rate of not less than 1 of the value of the gross output of minerals sold sec 11 1 j 1
3849,ocds-591adf-8082857980,Financial obligations - community or commodity funds,royalties,,,the contractor shall allot annually at least 1 of the direct mining and milling costs for the development of the host and neighboring communities these expenses may be charged against its required royalty payments if the host happens to be an indigenous cultural community sec 11 1 j 3
3944,ocds-591adf-8006566420,"Production Share - Cost Oil features  (basis of calculation, limits on cost recovery - e.g. as % of revenue or production, capex uplift, etc.)",royalties,,,"recoverable contract expenses shall be recovered by taking and disposing from a volume of crude oil and or natural gas produced and saved from the contract area not used in petroleum operations such expenses shall be limited to 50 in case of onshore shelf areas and offshore areas and lake tanganyika of the total crude oil or natural gas production from the contract area net of royalty there shall be a ring fencing based on exploration license or development license where a company holds exploration license or more than one development license within a contract area recoverable expenses in license areas or block s within the contract area may only to recoverable from petroleum revenues from such development area to the extend that were insured prior to commencement of petroleum production 
onshore areas include shelf up to water depths of numericvalue meters and offshore areas include water depths beyond numericvalue meters "
3975,ocds-591adf-8065650563,"Production Share - Cost Oil features  (basis of calculation, limits on cost recovery - e.g. as % of revenue or production, capex uplift, etc.)",royalties,,,lion petroleum shall recover a maximum of 55 of all crude oil produced and saved from the contract area during that fiscal year to cover petroleum costs 
4151,ocds-591adf-8293745677,Other - operational,royalties,,,"in case the shares of crude oil which the state and gnpc are entitled to receive are not sufficient to fulfil the domestic supply requirement contractor will be obliged along with other parties producing crude oil in ghana to supply a volume of crude oil to be used to meet the internal consumption demand provided however that contractor s obligation to supply crude oil will not exceed the totality of contractor s entitlement of gross production of crude oil after payment of royalties of the state any contract of supply to which the contractor is a party must be made subject to this requirement the state will pay the market price for the month of delivery 
contractor must regularly provide to gnpc information and data relating to worldwide petroleum science and technology petroleum economics and engineering and assist gnpc personnel to acquire knowledge and skills relating to the petroleum industry "
4208,ocds-591adf-8372045258,Other - financial/fiscal,royalties,,,"the company shall receive each year and for each exploitation title an income before corporation taxes and proportional tax equal to 25 31 of the mining rent from the exploitation title concerned 
in case the proportional royalty rate should not make it possible to fulfill these conditions the amount of the royalty shall be adjusted so that the company will receive the net income provided for above 
if it is not possible to fulfill the above conditions and barring agreement of the parties when the time comes on any other arrangement leading to the same result the state shall assign to the company in the course of the year concerned liquid hydrocarbons in quantities and under assignment conditions such that the company will actually receive the net income specified above 
for each exploitation title the rights to the liquid hydrocarbon production shall vary with the cumulative total production of the exploitation title concerned and are defined as follows 
up to numericvalue mt state share numericvalue0 company share 40 
from numericvalue to numericvalue mt state share numericvalue5 company share 35 
beyond numericvalue mt state share 70 company share numericvalue 
the state shall be entitled to reserve for itself out of its rights to the production a volume representing not more than 40 of the total production 
the company shall be free to dispose of its rights to the production and of any part of the right of the state which may be assigned to it subject to its obligations to supply the needs of cameroon and subject to the regulations enacted by virtue of article numericvalue of law numericvalue4 lf 3 of april numericvalue numericvalue
the company is bound to supply the needs of cameroon at the export price to the extent that the state s right to the production should not be sufficient this commitment shall not obligate the company to supply a proportion of its rights to the production of a given exploitation title that is greater than the proportion of the total production of same out of the title out of the total production of cameroon 
the company shall have a preferential right of purchase at the international price of the state s right to the production in excess of the needs of cameroon including the volume mentioned above this right must be exercised for periods of at least numericvalue consecutive months with at least numericvalue months notice prior to the start of the period concerned the international price applicable shall be established by agreement of the parties not later than the deadline for exercise of the right 
the state and the company shall define in due time prior to the start of exploitation of an exploitation title the procedures for organizing the taking of delivery of production and establishment of the quantities available for each of them "
4256,ocds-591adf-6921063233,Other - financial/fiscal,royalties,,,"universal energy resources shall pay an overriding royalty as consideration for this contract universal energy resources shall pay
 a for crude oil production in stubb creek field universal energy resources shall pay 2 5 of the daily 
production up to numericvalue bopd 3 numericvalue of the value of daily production from numericvalue to numericvalue bopd 5 5 of the value of daily production from numericvalue to numericvalue bopd 7 5 of the value of daily production between numericvalue and 1numericvalue bopd for 
production in excess of 1numericvalue bopd the override royalty shall be negotiated and 
agreed between the parties 
 b for the purposes of this article the daily production shall mean the entire daily production of crude oil from the marginal field 
 c with respect to the production of natural gas universal energy resources shall pay numericvalue of the value of production between numericvalue and 2numericvalue million standard 
cubic feet per day for production higher than 2numericvalue million standard cubic feet per day the parties shall agree on terms and conditions of such production "
4335,ocds-591adf-6994803993,Other - financial/fiscal,royalties,,,"cavalla rubber corporation shall be subject to the ecowas economic community of west african states trade levy on all goods from non ecowas states which it imports into liberia at the rate established by law
to the extent that cavalla rubber corporation and affiliated parties acquire certified emission reduction credits or other carbon or carbon equivalent emission reduction credits or any corresponding monetary value or cost savings that result from greenhouse gas emission reductions cavalla rubber corporation shall pay a royalty to the government provided that for the first numericvalue years of the term the rate of such royalty shall not exceed 10 of the equivalent monetary value of the credits or cost savings credits shall be included in cavalla rubber corporation s gross income for purposes of determining taxable income "
4399,ocds-591adf-6561806963,Income tax: rate,royalties,,,income earned from a source in sierra leone by foreign nationals is subject to tax at the rate of 25 
4822,ocds-591adf-5399370669,Withholding tax,royalties,,,golden veroleum will withhold 5 of interest dividends license fees royalties and other similar payments if a lower withholding tax rate is generally applicable under the laws of liberia that rate may be used instead golden veroleum will withhold 6 of payments for services and other payments made in connection with its activities in liberia to residents or non residents however if there is a lower generally applicable withholding tax rate it may be used instead golden veroleum will withhold 10 of payments for rent 
4934,ocds-591adf-5085611127,Carbon credits,royalties,,,to the extent mopp or its affiliates realize certified emission reduction credits or other carbon or carbon equivalent emission reduction credits or any corresponding monetary value or cost savings that result from greenhouse gas emission reductions whether created by mopp or a third party acting under mopp s direction associated with mopp s activities mopp will pay a royalty to the liberian government in accordance with the laws of liberia provided that for the first numericvalue years of the term of the contract the rate is no more than numericvalue of the equivalent monetary value of the emission reduction credits or corresponding cost savings the emission reduction credits will be included in mopp s gross income for purposes of determining its taxable income under the laws of liberia 
5093,ocds-591adf-6459881214,Income tax: rate,royalties,,,libinc oil palm inc will be taxed on its net taxable income in accordance with the tax law of general application provided that the aggregate rate of tax applicable to its net taxable income will not exceed 30 
5216,ocds-591adf-6185563903,Income tax: rate,royalties,,,all local employees are subject to pay as you earn tax consistent with the provisions of the income tax act numericvalue as amended income earned form a source in sierra leone by foreign nationals is subject to tax at the rate of 25 this will be based on the requirements for residency as provided for in sections 10 13 of the income tax act numericvalue as amended 
5352,ocds-591adf-9331659612,Income tax: other,royalties,,,real green shall also be obliged to pay other taxes to the government in accordance with the law in force of the kingdom of cambodia
5656,ocds-591adf-9505117998,Other - financial/fiscal,royalties,,,the government subri industrial plantation limited socfinaf sa and plantations socfinaf ghana limited agree that the proceed from any harvested gmelina trees from the plantation shall be equitably shared and apportioned as follows forestry commision 10 royalty 6 socfinaf sa 20 the government and subri industrial plantation limited combined 49 logger presumably the licensed logger appointed by the forestry commision mentioned in art 6 1 a 15 each party shall pay its own costs and expenses incurred in the preparation execution and carrying into effect of this agreement socfinaf will pay all applicable stamp and transfer duties and registration fees 
6512,ocds-591adf-2317427356,Income tax: rate,royalties,,,income earned from a source in sierra leone by foreign nationals is subject to tax at the rate of 25 
6517,ocds-591adf-2644859769,Surface fees or rent,royalties,,,atlantic resources shall pay an annual area fee as required under sections numericvalue of the forestry development authority regulation 107 7 for the purposes of calculating the area fee the land subject to the contract is the adjusted area determined under section b7 11 a of the contract 
7210,ocds-591adf-0966186576,Custom duties,royalties,,,firestone liberia must pay a customs user fee on imports as required by liberian law on all items not otherwise subject to import duties however during the rehabilitation term the rate at which the fee is imposed must not exceed 1 5 of cif value 
7273,ocds-591adf-4112300393,Custom duties,royalties,,,pheapimex agrees to pay taxes or other charge fee that are obliged by the government including export duties compatible with the future laws 
7296,ocds-591adf-4112300393,Income tax: other,royalties,,,pheapimex is obliged to pay other taxes to the government pursuant to the applicable laws pheapimex agrees to pay taxes or other charge fee that are obliged by the government including export duties compatible with the future laws 
