,OCID,Category,Predicted,CleanText,TextLength
234,ocds-591adf-6424799341,Stabilization,other,any change in law may be deemed a compensation event the legislation and obligations assumed by the companies under the project agreements and their amendment will apply at all times to the subsidiaries contractors and subcontractors directly or indirectly in charge of project operations throughout the term if there is any new legislation or amendment or provision to legislation or legitimate cause that may and is deemed a compensation event under this contract by entityorg or a project company then the affected party may file a petition with the state and the state project committee the state may either reject the petition providing reentitycardinalpt the petition and propose to meet the party and discuss with no obligation to reach an agreement the possibility of postponing the application of the measure or amending the convention or project agreement to preserve its economics whereupon the parties must reasonably try to reach a mutually acceptable solution in addition except where otherwise provided the applicable project companyentityordinal give first notice of the occurrence of a comentitygpensation event ce noentityorg sentitydateoject committee within numericvalue days of becoming aware of the event or the reasonable poentitygpeibility oentitydatevent and again a ce notice within numericvalue days setting forth details of the event including reentitypersonfying it as a compensation event the detailed amount claimed as convention compeentityorgf no dispute arentitydatee state must entityorgy the convention compensation within numericvalue days of receipt of theentitypersonce the compensation must be an amount sufficient to compensate cam iron or the company for all documented losses in excess of the applicable thresholds after taking into account any insurance proceeds actually received in connection to the event if applicable if the company is required to expend its own funds the entitycardinalpensation will include interest at a rate equentityordinal thentityorgasis points in addition upon the receipt of entitydatest notice the state project committee must use its reasonable efforts to respond within numericvalue days to indicate whether it grants temporary relief from the adverse circumstances related to the compensation event if the committee grants relief or is silent on whether it grants relief the companies will be automatically granted any permit described in the notice for which material requirements are met as needed to avoid the adverse circumstances and to the extent the potential compensation event is the result of a delayed denied or withdrawn permit more generally the companies must and should be allowed to use their reasonable efforts to mitigate any losses and adverse effects of a compensation event ,2773
239,ocds-591adf-4534496341,Stabilization,other,au cas des v nements non pr vus par les articles ou que des lois et r glements ult rieurs modifiaient fondamentalement l quilibre conomique du projet et du pr sent contrat entrainant ainsi une charge excessive pour l une des parties dans entityquantity ses obligations contractuelles les parties sur demande expresse de la partie affect e rechercheront de bonne foi un accord en vue de r viser les termes du contrat et les modalit s d ex cution du projet de mani re a r tablir l quilibre conomique tel qu il a t pr vu au moment de la signature du contrat ,555
252,ocds-591adf-3604158543,Royalties,other,en plus des dividendes la g n rale des carri res et des mines recevra numericvalue des recettes brutes en compensation de minerais consomm s congo investment corporation et la r publique d mocratique du congo seront galement r mun r es en terme de royalties convenir en cas d apport en ressources naturelles et en termes de taux d int r t galement convenir entre associ s en cas d apport financier ou en termes de rente correspondant au taux d usure du bien meuble ou immeuble a convenir entre parties en cas d apport en bien meuble ou immeuble ,545
278,ocds-591adf-9115122251,Royalties,other,le projet tant d int r t national la soci t swanmines ne paiera pas de royalties ,81
305,ocds-591adf-5399370669,Royalties,other,golden veroleum will not be subject to the resource rent tax during the term of the contract ,93
310,ocds-591adf-4413175528,Royalties,other,the government through entityoentitentityorgberia nocal agrees to entitylawctionentityorge liberian petroleum law from being applied to or having any effect on this contentityorg the government through nocal further expressly waives any and all rights wentityorg payment by oranto petroleum limited on the total production of hydrocarbons from petroleum operations ,365
345,ocds-591adf-0966186576,Royalties,other,entityorg shall be liable to pay turnoveentitydaterterly which amount shallentitypercentexceed percentvalue of its gross income the turnoventitypercenentityordinals to percentvalue during tentitycardentitypersondar year after numericvalue firestone lentitycardinalberia has a negative taxable income and numericvalue the cumulative total un creditentitymoneytax paid up until that date exceeds us dollarvalue million ,417
370,ocds-591adf-2590553572,Royalties,other,of each barrel of entitydate aventitydate daily net production the government is entitlentitypercenentityorentityquanentitypercenthe first numericvalue barrels percentvalue of any entityquantityduction which eentityquantentitypercentrrels up to and including numericvalue baentityquantityany additional entityquanentitypercenth exceeds numericvalue barrels up to and entityquantity00 barrels percentvalue entityquantityentitypercentduction which exceeds numericvalue barrelentityquantityluding numericvalue barrels and percentvalue of any additional production which exceeds numericvalue barrels ,596
388,ocds-591adf-4170419959,Royalties,other,taxe sp cifique de us dollarvalue par tonne de bauxite consomm e exon ration de taxe sp ciale l exportation d alumine ,118
389,ocds-591adf-2461556641,Royalties,other,en application de la loi no 010 al 75 paiement d une taxe sp ciale appliqu e la bauxite et l alumine export es qui sera calcul e et tablie lors de la signature des contrats de commercialisation des produits miniers entitygpe le gouvernement accorderaentityperson t un moratoire pour le paiement de cette taxe pour une p riode de numericvalue ans au plus compter de la date de la premi re exp dition centitypersonle il reste entendu que le moratoire ci dessus accord ne constitue pas un pr c dent ,496
391,ocds-591adf-8649797663,Royalties,other,entitypeentitypersonuction at delivery point if taken in cash this amount is determinentitypersonmarket price asentitycardinaletailed in art numericvalue,153
392,ocds-591adf-0987434231,Royalties,other,entitypersoentitygpetamina shall be entityordinalled to firstentitydate receive each year a qentitypeentityorg0 of saba jatiluhur limited s participating interest shentitydateroleum pentityordinaltion for each such year called the first tranche petroleum before any deduction for investment credit and recovery of operating costs and handling of production ,357
393,ocds-591adf-7793227103,Royalties,other,entitygpe versera titre de royaentitypeentitypersonre d affaire net r alis gecamines dont sera d duit le loyer pour lentitymoney de numericvalue dollars,152
416,ocds-591adf-0648943319,Royalties,other,in accordance with entitylaentityproducentitydate4 of numericvalue june the concessionaire shall deliver to the government in kind as petroleum production tax i in respect of natural gas produced from deposits in the contract area onshoentitypercent quantity of percentvalue of the natural gas in respect of crude oil produced from deposits in the contract area locatedentitypercentore a quentitypersontity of percentvalue of the crude oil ii in respect of natural gas produced from deposits entitycardinalct area in water entitypercent less than numericvalue metres a quantity of percentvalue of the natural gas and in respect of crude oil produced frentitycardinaln the contract arentitypercent water deentitypersonh less than numericvalue metres a quantity of percentvalue of the crude oil iii in respect of natural gas produced from depoentitycardinals in tentitycardinalrea in water deptentitypercental to or in excess of numericvalue metres and less than numericvalue metres a quantity of percentvalue of the natural gas and in respect of crude oil prentitycardinalced frentitycardinal in the contract entitypercentin water depth equal to or in excess of numericvalue metres and less than numericvalue metres a quantity of percentvalue of the crude oil and iv in respeentitycardinalof natural gas prentitypercentd from deposits in the contract area in water depth equal to or in excess of numericvalue metres a quantity of percentvalue of the natural gas entitycardinal in respect of crentitypercentil produced from deposits in the contract area at a water depth equal to or in excess of numericvalue metrentitydateantity of percentvalue of the crude oil the government may in lieu of the petroleum production tax deliverable in kind by numericvalue days notice require the concessionaire to pay to the gentitycardinaleach month fully or partly in cash the relevant percentage of the value ascertained in accordance with the provisions of article numericvalue entitydatels with fiscal terms and other charges of the crude oil and the natural gas which has been produced from the contract area in that month ,2113
417,ocds-591adf-7484523034,Royalties,other,before clearing the land for the development activities entitentitygpembodia shall obtain apentitentitygpeiculture forestry and fisheries for the logging processing or transporting of trees found on the lands and pay roentitentitygpeistry of agriculture forestry and fisheries in accordance with the principles and forestry law in force,336
419,ocds-591adf-9390285909,Royalties,other,the contractor shall pay to the government a royalty at a rate depending on the total entitydate production in a development area of all crude oil and natural gas produced and saved and not used in petroleum operations and determined according to the following incremental scale average crude oil production from a development aentityquantityarrels per day bpd x government x entitycarentitycardinaltor next numericvalue bpd x goverentitycarentitycardinal x contractor next numericvalue bpentitycarentitycardinal government x contractor neentitycarentitycardinal000 bpd x government x coentitypersonor next 20 0entityordentitycardinal x government x contractor any volume over the first numericvalue bpd x governmentitycardinal average natural gas production from a developmenentitycardinal0 million cubic foot per day x government entitycardinalt numericvalue million cubic foot per day x governentitycardinalr next numericvalue million cubic foot per day x entitywork of artrnment x coentityordentitymoney 000 million cubic foot per day x government x contractor any volume over the first numericvalue million cubic foot per day x government x contractor ,1157
439,ocds-591adf-1353467417,Royalties,other,el pago de regal as participaciones e entityorg impuesto directo a los hidrocarburos contractuales ser realizadentitentityorgr ypfb ypfb proveer mensualmente al titular certificados que evidencien el pago de las regal as entityorgticipaciones e idh que correspondan el valor de los hidrocarbuentityorgnetos recibidos por ypfb en cualquier entityorgnatural ser aplicado por ypfb primeramente al pago de la regal a departamental la regal a nacional entityorgrticipaci n del tesoro general de la naci n y el idh ,509
444,ocds-591adf-4256986882,Royalties,other,etap et samedan payent une redevance proportionnelle gale au quantit s des hydrocarbures bruts liquides ou gazeux provenant de leurs op rations r alis s dans le cadre de ce permis en fonction d un rapport r comme suit pour les hydrocarbures liquides percentvalue pour r inf rieur ou gal numericvalue percentvalue pour r sup rieur numericvalue et inf rieur ou gal numericvalue percentvalue pour r sup rieur numericvalue et inf rieur ou gal numericvalue percentvalue pour r sup rieur numericvalue et inf rieur ou gal numericvalue percentvalue pour r sup rieur numericvalue et inf rieur ou gal numericvalue percentvalue pour r sup rieur numericvalue et inf rieur ou gal numericvalue percentvalue pour r sup rieur numericvalue pour les hydrocarbures gazeux percentvalue pour r inf rieur ou gal numericvalue percentvalue pour r sup rieur numericvalue et inf rieur ou gal numericvalue percentvalue pour r sup rieur numericvalue et inf rieur ou gal numericvalue percentvalue pour r sup rieur numericvalue et inf rieur ou gal numericvalue percentvalue pour r sup rieur numericvalue et inf rieur ou gal numericvalue percentvalue pour r sup rieur numericvalue et inf rieur ou gal numericvalue percentvalue pour r sup rieur numericvalue et inf rieur ou gal numericvalue percentvalue pour r sup rieur numericvalue et inf rieur ou gal numericvalue percentvalue pour r sup rieur numericvalue pour les solides le taux est entre numericvalue numericvalue et sera fix d un commun accord etap et samedan sont tenus de payer tant pour le permis de recherches que pour la ou les concession s les droits fixes d enregistrement et en ce qui concerne la ou les concession s les redevances superficiaires dans les conditions pr vues par la l gislation mini re et par la convention,1756
446,ocds-591adf-3903097607,Royalties,other,mumi paiera la g camines numericvalue des recettes brutes comme royaltie et numericvalue des recettes brutes pour les mati res valorisables extraites de la mine ,161
449,ocds-591adf-6459881214,Royalties,other,entityorg will entitypercent a numericvalue turnover taxentitydateg the numericvalue year rehabilitation period to be applied against future tax obligations ,157
456,ocds-591adf-3217280085,Royalties,other,la regal a minera conforme a entityloc no numericvalue est incluida en el marco de estabilidad administrativa ,110
458,ocds-591adf-7382402375,Royalties,other,entitycardinal du prix fob pour le minerai de fer concentr ,59
463,ocds-591adf-4565806973,Royalties,other,the concessionaire and its associates will be liable to taxation under the provisions of the minerals and entitypersoentityorgiberia on its net taxable income the rate of net taxable income sentitypercente than percentvalue net taxable income means its gross income from production and other operations as well as its capital gains form the sale of the disposition of any asset to for the benefit of any person and any other income from business activity or investment including currency gains when realized less the deductions ,528
465,ocds-591adf-7304502537,Royalties,other,entityorg est assujetti au paiement de droits fixes pour l octroi le renouvellement et la cession des permis d exploitaentitypersonn les montants sont determin s conform ment a la r glementation miniere en la matiere ,217
466,ocds-591adf-8006566420,Royalties,other,entityorg on behalf of itself and the contractor shall deliver to the governentitypercent5 for onshore shelentitypercentand percentvalue for offshore of total crude oil natural gas production prior to cost oil and or cost gas recovery at such location as the minister may direct onshore areas include shelf up tentityquantitypths of numericvalue meters and offshore areentityquantitydepths beyond numericvalue meters ,417
472,ocds-591adf-0315234670,Royalties,other,stumpage fees entityorg shall pay log stumpage fees to the government in the amounts and at the times established by part entityorghority regulation numericvalue the parties will use the methods set out entitycardinaentitycardinentityorgry development authority regulation numericvalue establishing a chain of custody system to entityorges alpha logging processing shall prevent logs fromentityorgbefore alpha logging processinghas paid the log stumpage fees ,459
485,ocds-591adf-0543321438,Royalties,other,entityorg pagar al gobierno el derecho de aprovechamiento de acuerdo al monto estipulado entitylocxo n 3 dicho pago se efectuar al contado en d lares o en moneda nacional al tipo de cambio vigente a la fecha de pago por periodo de zafra anual y por hect rea del rea de la concesi n no se efectuar n reajustes al derecho de aprovechamiento entityordinals primeros numericvalue entityordinaldespu s del quinto a o los reajuentitycardinaltes se efectuar n cada numericvalue a os con base en un ndice establecido por el gobierno basado en un indicador de conocimiento p blico el pago por el aprovechamiento de otros recursos de flora silvestre y de fauna silvestre incluyendo las actividades de turismo o servicios ambientales realizadas en el rea de la concesi n est incluido en el pago de derecho de aprovechamiento forestal valera gozar de una reducci n del percentvalue del derecho de aprovechamiento cuando cuente con certificaci n forestal voluntaria y otro percentvalue para proyectos integrales de extracci n transformaci n y comercializaci n el pago del derecho de aprovechamiento por unidad de superficie de las concesiones en las que se incluya el aprovechamiento de la caoba se establecer aplic ndose la formula dispuesta v a resoluci n jefatural de acuerdo con lo establecido por el gobierno y de confoentitycardinaldad entityorgsupremo 012 2003 ag forestal valera gozar del siguiente programa promocional respecto al pago de los derecentitycardinal de aprovechamiento i reducci n del percentvalue desde la fecha deentityordinalpcientitycardinal del contrato hasta entityordinalio entitycardinalla segunda zafra ientityordinalccientitycardinal del percentvalue en la segunentityordinalra entitycardinalii reducci n del 30entityordinala tercera zafra iv reducci n del percentvalue en la cuarta zafra y v reducci n del percentvalue en la quinta zafra el gobierno podr implementar programas promocionales adicionales conforme a la ley vigente ,1949
487,ocds-591adf-4426584943,Royalties,other,entitypercent from contract area shall be allocated to the government ,70
494,ocds-591adf-3045742924,Royalties,other,entientitentitypeentientitygpeentityorg oil of indonesia and wainoco international shall pay to the government the tax on interest dividend and roentitynorpsed on it pursuant to the indonesian tax laws ,202
496,ocds-591adf-9736395382,Royalties,other,as for mined raw materials utilized in the production of cement entityorg shalentitymoney00 usd per ton of cement manufactured for the extractientityorgof coal mip shall pentitymoneye amount of dollarvalue usd per ton of coal extracted ,236
532,ocds-591adf-3011184362,Royalties,other,dcp versera trimestriellement g camines une somme gale percentvalue des recettes nettes des ventes r alis es durant les numericvalue premi res ann es et percentvalue des recettes nettes des ventes r alis es pendant chaque p riode annuelle ult rieure les recettes nettes des ventes d signent les revenus bruts moins les d ductions permises soit les co ts d penses et charges relatifs au transport des produits de l endroit o ils sont r cup r s l endroit o ils seront broy s fondus raffin s ou transform s de toute taxe sur les produits provenant de la zone mini re mais l exclusion des imp ts sur le revenu net les co ts et frais des ventes d assurance de stockage consignation les frais d agence et d interm diaires de ventes relativement aux produits ainsi que toutes r ductions ou remises conc d es aux clients pour non respect des sp cifications ou pour produits endommag s ainsi que de toute somme qui pourra tre pay s g camines par dcp pour l achat des biens ou la fourniture de services pour les besoins du projet ,1020
555,ocds-591adf-4815087699,Royalties,other,entitypeentitypersonuction at delivery point if taken in cash this amount is determinentitypersonmarket price asentitycardinaletailed in art numericvalue,153
567,ocds-591adf-0195471540,Royalties,other,etap et eat douivent payer une redevance proportionnelle la valeur des quantit s des hydrocarbures liquides ou gazeux provenant des op rations r alis es dans le cadre de la pr sente convention comme suit a hydrocarbures liquides pour les hydrocarbures liquides le taux de la redevance proportionnelle varie selon un rapport r comme suit numericvalue pour r inf rieur ou gal numericvalue numericvalue pour r sup rieur numericvalue et inf rieur ou gal numericvalue numericvalue pour r sup rieur numericvalue et inf rieur ou gal numericvalue numericvalue pour r sup rieur numericvalue et inf rieur ou gal numericvalue numericvalue pour r sup rieur numericvalue et inf rieur ou gal numericvalue numericvalue pour r sup rieur numericvalue et inf rieur ou gal numericvalue numericvalue pour r sup rieur numericvalue b hydrocarbures gazeux cette redevance est due des taux variant avec le rapport r comme suit numericvalue pour r inf rieur ou gal numericvalue numericvalue pour r sup rieur numericvalue et inf rieur ou gal numericvalue numericvalue pour r sup rieur numericvalue et inf rieur ou gal numericvalue numericvalue pour r sup rieur numericvalue et inf rieur ou gal numericvalue numericvalue pour r sup rieur numericvalue et inf rieur ou gal numericvalue numericvalue pour r sup rieur numericvalue et inf rieur ou gal numericvalue numericvalue pour r sup rieur numericvalue et inf rieur ou gal numericvalue numericvalue pour r sup rieur numericvalue et inf rieur ou gal numericvalue numericvalue pour r sup rieur numericvalue une redevance sur les solides est aussi due elle varie entre numericvalue et numericvalue en plus etap et eat paient une redevance superficiare et les droits fixes d enregistrement dans les conditions pr vues par la loi mini re ,1756
569,ocds-591adf-8383008052,Royalties,other,entitypercent la production nentityorgstitue des co ts p troliers ,66
574,ocds-591adf-3001376476,Royalties,other,the government will exclude entitylaw taentityorgum law from being applied to or having any effect on this contract the government expressly waives any and all rights it has or willentitylawetroleum law or other laws which requires any rentityorga block numericvalue company on the total production of liquid and gaseous hydrocarbons ,334
