,OCID,Category,Predicted,CleanText,TextLength
1084,ocds-591adf-9115310768,Resettlement,stabilization,l etat devra aider la entitygpe dans les dispositions prendre pour tout d placement de population locale dont le transfert d une partie quelconque entitynoentitypersonne du projet ou d une zone mini re eentityorgssaire la soci t devra payer les frais de transfert et verser une indemnit raisonnable pour tout habitation ou terrain ou tout autre bien existant dans les zones r quisitionn eentitypersondommag es par la soci t ,424
1125,ocds-591adf-9115310768,Withholding tax,stabilization,entitypercent les services fournisentitypersonoci t par des personnes non tablies de fa on peentitypersonen guin e au sens de la r glementation fiscale aucune retenue la source ne sera appliqu e aux services rendus direcentityorgent par gsm ou cmc tant donn que ces services sont entityorgprix co tant la soci t devra retenir la source et acquitter l imp t sur le revenu au titre des salaires et traitements de ses emploentitypeentitypersononform ment aux loentitypersonicables de plus chaque ann e la soentitycardinal mettra de c t pour la formation au moins percentvalue du total des salaires des employ s guin ens ,617
1126,ocds-591adf-9115310768,Financial obligations - community or commodity funds,royalties,imp t pr fectoral ou local pour le d veloppement communautaire de percentvalue des recettes brutes annuelles sur ses ventes ,124
1130,ocds-591adf-8810576476,Reporting requirements,stabilization,fiscal terms the parties shall at entitycardinal intervals from the effective date of the agreement review its economic terms to determine whether the agreement shall be amended to provide for an adjusted allocation of economic benefits beentityorgiangxi and the government during the review the parties shall bargain in good faith with a view to providing a fair and equitable division of profits in light of the economic factors prevailing at the time of the review the following factors shall guide the review a economic value of the license b terms of other comparable copper agreements negotiated by the governmententitydaten the 5 year period preceding the review date c terms of other comparable copper agreemeentityorg negotiated byentitydateiangxi within the 5 year period preceding the review date and d terms of other comparable coentityordinalagreements negotiated by third parties geentitydatereview the parties shall at numericvalue year intervals from the effective date of the agreement review the agreement excluding the dispute settlement provisions to determine whether in light of changed circumstances the agreement should be amended the review shall be carried out in good faith giving due regard to the legitimate interests of the other party disputes arising froentitylaw review shall be resolved under section numericvalue of the agreement disputes ,1374
1142,ocds-591adf-9115310768,Income tax: other,royalties,entityperson implicite si la soci t poss de plusieurs entreprises une seule date de premi re production commerciale est d finie reportables pendant une p riode de 5entitypersons les redevances int r ts et autres paiements sont consid r s comme frais d exploitation d ductibles de l imp t sur lesentitypersonn fices les r gles sur l amortissement sontentitypersonxe amortissement d gressif suentitycardinalans percentvalue,421
1144,ocds-591adf-9115310768,Name and/or composition of the company created,royalties,restructuration d aurif re de guin e s a une soci t mixte guin enne dans laquelle l etat tait actionnaire entitypercent cr e conform ment une convention mini entityentityorgon de la sag dont l actionnarentityperceentitentitypeentityorgntr publique de guin e percentvalue pour cmc ,280
1148,ocds-591adf-8934817155,Income tax: rate,stabilization,entitentitygpentityorge and kosmos will be subject to an ientitypercentax rate of entityorgpentityorentitycardinalum income tax law numericvalue pndc law numericvalue if a new income tax rate comes into effect the contractor will be given the option of either applying the new rate to the agreement or remaining under the current law ,334
1151,ocds-591adf-9115310768,Custom duties,royalties,exon ration pendant les entitycardinal premi res anentityquantity 6 de la valeur d entityquantitysqu la 10e d ann entitypercentploitaentitycardinaln percentvalue au del de la 10e ann e ,185
1154,ocds-591adf-9115310768,Renewal or extension of term,stabilization,si les op rations mini res commerciales se poursuivent dans une quelconque entityorg et qentityorgoci t peut d mentitypersonue de guin e de mani re convaincante que les r serves et la conjoncture conomique dictent la continuation des activit s la convention demeurera en vigueur pour une p riode suffisante pour l ach vement des activit s mini res et la r habilitation de la zone et les parties ren gocieront des dispositions concernant les imp ts et autres stipulations fiscales relatives la prolongation de ces op rations mini res ,533
1160,ocds-591adf-8757641437,"Sacred, cultural, or historical sites",royalties,the contractor shall recognize and respect the rights customs and traditions of indigenous tribal communities over their ancestral lands and shall pay royalties at no less than entitypercent the value of the gross output of minerals sold entityproduct 1 j 1,257
1164,ocds-591adf-9762278042,Income tax: rate,royalties,impo t direct de percentvalue entityquantity less be ne fices nets,66
1166,ocds-591adf-9762278042,Surface fees or rent,royalties, entitywork of art versera a la direction de l exploration et du de veloppement des hydrocarbures bruts les redevances superficiaires suivantesentitypersonollars par kilome tre carre et par an durant la pe riode initiale de l autorisation exclusive d entitypeentitywork of artars par kilome tre carre et par an durant la premie re pe riode de renouvellement de l autorisation entitypeentitywork of artnquante dollars par kilome tre carre et par an durant la deuxie me pe riode de renouvellement de l autorisation exclusive d exploration et durant toutentitycardinentitycarentitypersongation pre vue aux articles numericvalue et numericvalue d deux centityquantitye tre carre et par an durant la pe riodentitypersone validite d une autorisation exclusive d exploitation les redevances superficiares ne sont ni recouvrables ni d ductibles fiscalement et ne peuvent donc en aucun cas tre consid r s comme des co ts p troliers ,923
1187,ocds-591adf-9762278042,"Production Share - ""Profit Oil features (triggers for variations in split - IRR, factor, production, etc .)",royalties,la quantit restante apres impots et recouvrement de production sera partag e entre le gouvernement et entityperson chip si la production totale journaliere de p trole brut ou de gaz est inf rieure ou gaentitycardinal25 000 barrilentitypercentur percentvalue pour entitypeentitywork of artnt et percentvalue pour blue chientityquantityproduction est entreentitypercentet numericvalue barentitypeentitywork of artr percentvalue pour le governement et entitycardinalur blue chip entitypercentroduction estentitypeentitywork of arta numericvalue barrils par jour percentvalue pour le governement et percentvalue pour blue chip le gouvernement peut recevoir sa part en nature ou en espece ,684
1266,ocds-591adf-9736395382,Resettlement,royalties,entityorg agrees to entitycardinaluild residences for workers and if the property of local people is damaged it s entityorgies mip co will pay compensation in an amount fixed by negotiation,189
1272,ocds-591adf-9666004480,"Production Share - Cost Oil features  (basis of calculation, limits on cost recovery - e.g. as % of revenue or production, capex uplift, etc.)",stabilization,cost recovery is limited maximum of entitypercent all crude oil produced from the contract area dentitydatel year and not used in petroleum operations petroleum costs may be recovered with the exception of capital expendituresentitydate fiscal year in which the costs are incentitydateor the fiscal year in which commercial production occurs entitycardinalver is the later for capitentitypercenttures at a rate of percentvalue based on authorizatentitydatee starting either in the fiscal year in which they are incurred and paid or in which the commercial production from the development area commences whichever is the later capital expenditures mean the qualifying expenditure other than intangible drilling costs that is expenditure that has no salvage value which is for or incidental to drilling cleaning deepening completing oentitydatewells to the extent that in a fiscal year the recoverable costs exceed the value of all cost oil or cost gas the excess will be caentitydatector in the next succeeding fiscal year or years until fully recovered but not after tentitydaten of the contract to the extent that in a fiscal year the recoverable costs are less than the maximum value of the cost oil or gas the excess will become part of the profit oil or gas ,1262
1292,ocds-591adf-9642814017,Surface fees or rent,royalties,entityorg sera assujettie au paiement des droits fixes et de la redevance superficiaire conform ment au code minier ,116
1293,ocds-591adf-9642814017,Financial obligations - community or commodity funds,royalties,a partir de la date de mise en production commerciale contribution annuelle de entitypercent d affaires r alis sur la bauxite export e pour l alumine l assiette sera la ventityorg deentityorg bauxite cbg ajust e pour la teneur en alumine ,238
1294,ocds-591adf-9642814017,Provisions for renewing reserves,stabilization,montant maximum de entitypercent b n fice imposable la fin de chaque exercice fiscal d ductible du b n fice imposable en cas d exercice b n ficiaire cette provision pourra tre utilis e au courentitycardinal des numericvalue exercices suivant sa constitution faute de quoi elle sera reprise et affect e aux r sultats financiers de l exercice fiscal ,348
1296,ocds-591adf-9642814017,Income tax: other,stabilization,d fini suivant le code general des imp ts guin en et son calcul suivra la l gislation en vigueur entityperson suentitycardinal les numericvalue exercices fiscaux suivant le dernier exercice fiscal d ficitaire compter de la date d expiration de l exon ration fiscaleentityperson numericvalue ans les amortissements r put s diff r s au cours des exercices fiscaux d ficitaires y compris les amortissements des frais initiaux d tablissement pourront tre cumul s etentitycardinaleport s sur les numericvalue exercices fiscaux suivants jusqu au revenu imposable le montant total des int r ts et autres paiements et frais dus aux pr teurs y compris en ce qui concerne les pr ts effectu s par les actionnaires sont d ductibles ,720
1298,ocds-591adf-9642814017,Investment credit,royalties,entitypercent totalit des investissements effectu s au cours de l exercice fiscal charge d ductible pour le calcul du b n fice imposable ,137
1306,ocds-591adf-9642814017,Hardship clause or force majeure,stabilization,en cas de changement de circonstances d favorables l investisseur non imputables l investisseur l etat accepte de mettre en place un avenant et des ajustements additionnels pour mettre fin l impact de ces changements si ces changements ont lieu apr s le terme des entitycardinal ans l etat aura le droit de demander l investisseentityorget imd de ren gocier le r gime fiscal et douanier de la convention un niveau aussi favorable que le plus favorable des r gimes en vigueur a d faut d accord entitycardinals parties numericvalue jours apr s la r ception de cette demande de ren gociation entitypersonat mettra fin la convention et ach tera les actifs une valeur fix e par un expert ,683
1347,ocds-591adf-9686067103,Size of concession area,royalties,the initial contract area is entitycardinal kmentitydaterationentityordinale the firentityordinalension and second final extension phase the contract aentitypeentitypercenentitypercented to percentvalue percentvalue and percentvalue respectively except when an exploitation authorization has been granted or applied for ,320
1355,ocds-591adf-9686067103,Income tax: rate,royalties,entityorg energy cameroon shall be liablentitypersonny tax caentitypercented as percentvalue of kosmos energy cameroon s net profits kosmos energy cameroon shall pay tentitydaentitydatellments in a fiscal year ,210
1366,ocds-591adf-9642814017,Income tax: exemptions,stabilization,a l exception des taxes pr vues par la convention l investisseur entityorg entityorgili es et leurs sous traitants ne seront soumis aucentitygpe t en guin e pendant toute la dur e de la convention ,197
1389,ocds-591adf-0056442275,Income tax: other,royalties,as a holder of a forest resource licence entityperson logging company must pay taxes duties and fees entitylawberia,115
1404,ocds-591adf-0056442275,Other - financial/fiscal,royalties,entityperson logging company shall pay the governmeentitydateannual contract administentitydate fee annentitydateea fees an annual coupe inspection fee and forest pentityorg by authority regulation numericvalue,210
1426,ocds-591adf-0082364168,Income tax: other,royalties,entityorg is obliged to pay the state other tax in accordance with effective lentientitygpe of cambodia,103
1572,ocds-591adf-9642814017,Withholding tax,royalties,entityperson source sur les salaires des travailleurs de nationalit guin enne versement forfaitaire au taentitypeentitypercent percentvalue percentvalue sur les salaires vers s au personnel exentitygpe pr sent enentitycardinalin e pendant plus de numericvalue jours au cours d une ann e civile lib ratoire de tout imp t sur le revenu dentitypercent personnel expatri percentvalue pentitypercentrestataires de services et percentvalue apr s d duction de tous les frais support s aux termes du contrat concern s agissant de tous les autres sous traitants a la charge deentityorentitypersonervices mais pay s par entitypercentoci t de projet ou le sous traitant l etat percentvalue sur les revenus en location pay s aux personnes physiques propri taires des b timents lou s ,771
1573,ocds-591adf-9642814017,Custom duties,royalties,aucun droit de douane n est exigible sur les quipements mat riaux machineries lourdes et machines utilis s directement dans le cadre de l exploitation des infrastructures ferroviaires et portuaires et de l autre op ration de transport n cessaires au entityperson exon ration compl te pour l investisentityorgr entityorg s affili es et les sous traitants en cas de revente des produits et quipements ayant fait l objet d une exon ration les droits et taxes concern s seront exigibles paiement d un droit d enregistrement d aux autorit s douaentitypercenttaentityorgde percentvalue de la valeur cif des produits import s dont le montant total per u n exc entityorgum fix par la loi de financesentityorgexentityorgnvestisseur imd leurs soci t s affili es et les sous traitants sur les mati res premi res et consommables n cessaires la transformation surentitypersonace du minerai en produit fini et semi fini les biens d quipement mat riel gros outillage et v hicules ainsi que les mati res premi res et consommables d stin s entitypercentaction entityorgminerai sont tax s au taux unique de percentvalue de leur valeur fob ,1121
1577,ocds-591adf-9311596646,Income tax: other,stabilization,entityperson and its assignees successors must pay income tax on its income from petroleum operations the government must out of its share of profit petroleum pay all income tax owed tentityorgregion autentityorges by repsol and its assignees succesentityorgand provide repsol withl receipts indicating no incentitynorp is outstanding repsol and its successors assignees must not record depreciation or amortisation changes in its accounts except as permitted by applicable law and only with prior written autentitylocon of the government further details on the definition and classification of expenses for accoentitygpeand tax purposeentitypersondeentitycardentitycardentitycardinalnalnal in annex b see in particular annex b arts numericvalue numericvalue numericvalue,771
1627,ocds-591adf-9316251017,"Production Share - Cost Oil features  (basis of calculation, limits on cost recovery - e.g. as % of revenue or production, capex uplift, etc.)",royalties,the entityorg shall at all times be entitled to recover all petroleum costs inccured underentityorentitypercentup to percentvalue of available crude oil all export crude oil producentityorg the contract area after deductionentityorgentityorgailable associated natural gas all associated entityorgced and saved from the contract area except that which is used re injected loentitypercentared or cannot be used or sold and percentvalue of aentityorgd natural gas all exportentityorgatural gas produced and saved within the centityeventr deductentitypersondue for royalty in any calendaentitycardinal year recoverentitycardentitentitycardentitentitycardinalorg occur in the fentitycardinalllowing order numericvalue production costs numericvalue exploration centitynorprketing costs numericvalue development costs and numericvalue decommissioning costs any vat shall be considered as a petroleum costs ,899
1658,ocds-591adf-9316230710,Other - financial/fiscal,royalties,entitygpe participar en un m nientitypercent percentvalue y el concesionario en uentitypercento de percentvalue que se calcular n sobre una base de flujos corrientes sin aplicaci n de tasa de actualizaci n o descuento para el c lculo de flujos totales en caso de que los beneficios del concesionario fueentitypercentsuperiores al percentvalue deber pagarle al estado el ajuste soberano necesario para que la participacentitypercentdel estado llegue a percentvalue entra en el c lculo de la participaci n del estado el impuesto aentitypersoningresos extraoentitycardinalrios el impuesto a la renta el iva que no hayaentitypercentpensado como cr dito tributario 1entitycardinalparticipaci entitycardinaloral atribuida al estado las regal entitycardinalas el ajuste soberano calculado acumulativamente todos los tributos y beneficios previstos entitypercentla legislaci n aplicable el concesionario debe pagar el iva percentvalue al respecto de todas sus actividades la devoluci n del iva en actividades de exportaci n no es aplicable a la actividad minera por tratarse de recursos naturales no renovables los valores pagados por el iva no constituir n entitypercentito tributario y se incluir n en los costos inversiones y gastos percentvalue se consideran ingresos extraordinarios geneentitycardinalados por la venta de los minerales a precios superiores del pentientitycardinal base usd numericvalue por entityorgcobre metal equivalente contenida en el concentrado usd numericvalue por onza troy de oro usd numericvalue por onza troy de plata ,1543
1659,ocds-591adf-9316230710,State participation,royalties,entitygpe recentitypercent12 de los beneficios los trabajadores vinculados a la actividad minera del concesionarientitypercentibir n percentvalue de los beneficios ,164
1663,ocds-591adf-9316251017,Income tax: exemptions,stabilization,the government intends to present to entityorg a law to auhtorisentitygpenement by contract or other authorisation to exempt investors in long term projects relating to the conduct of pretoleum operations in the kurdistan entityorgistan region taxation to indemnify such holders against liablity to pay such taxation and or to guarantee the stability of the applicable legal fiscal and economic conditions of such projects exempt from withholding tax additientitentityoentityorg tax each contractor entity its affiliates and any subcontractor shall for the entire duration of this contract be exempt from all taxes as a result of its income assests and activities under entitylaentitycardinalct except as provided in article numericvalue and numericvalue,754
1674,ocds-591adf-9352687684,State participation,royalties,the entityorg retaentitypercentisible percentage intentityorgwhileentitypercent percentvalue indivisible entitygpege inentitypercentns retains a percentvalue indivisible pentityorgterest development and exploitation work expenses will be funded in proportion with thentityorgties respective interests however onhym will not be required to make its contribution to exentityfacive date of the relevant exploitation concession ,424
1681,ocds-591adf-9217575339,Governing law,stabilization,the text of art entitypersentityorgeentitydateust numericvalue numericvalue is hereby deleted in its entirety entitylawed with the entitygped regulations of liberia as modified and or stabilientityorg byentitycardinalthe proentitentitycardinaentityentitycardinalteions of aentitentitygpe numericvalue as amended art numericvalue and art numericvalue shall apply to mittaentitygpe liberia holding with respect to all of its activities conducted in liberia and the operations in the event of a dispute the rights obligations and dutientitygpehe parties shall be construed and interpreted in accordance with the laws of liberia as supplemented by generally accepted legal principles ,680
1697,ocds-591adf-9217575339,Income tax: rate,stabilization,the rate of net taxable income shall be not greater than entitypercent should the government amend the revenue code so as to reduce the rate of tax entitypeentitentitygpetal steel liberia holdings shall be entitled to the benefit of such a change ,247
1722,ocds-591adf-9217575339,Name and/or composition of the company created,royalties,the text of section entitycardinal initial capital structure of the concessionaire of art xentityorgeentitydateust numericvalue numericvalue is hereby deleted in its entirety and replaced wentityorgteel holdings a g anentitypercentliates shall holentitentitygpeare caentityorgtal steel liberia holdingentitypercentittal steel and the government shall hold percentvalue in no the equentitygpeation ofentitypercentin the capital of mittal steel shall become less than percentvalue on a fully diluted basis ,504
1813,ocds-591adf-9499174502,"Production Share - ""Profit Oil features (triggers for variations in split - IRR, factor, production, etc .)",royalties,any petroleum not taken by entityorg and companies under sub paragraph 7 1 b i shall be sharentitypeentityloentitypeentityorgthority and percentvalue by oilex and companies ,173
1861,ocds-591adf-9552222925,"Production Share - Cost Oil features  (basis of calculation, limits on cost recovery - e.g. as % of revenue or production, capex uplift, etc.)",royalties,all expenditures incurred by entityperson shall be recoverentitypercent60 of gross oil proentitypercentn and percentvalue of gas production after deduction of royalties ,169
1905,ocds-591adf-9390285909,"Production Share - ""Profit Oil features (triggers for variations in split - IRR, factor, production, etc .)",royalties,the balance of crude oil remaining in entitydate after deduction of royalty payments and after recoverable petroleum operations costs have been satisfied shall be shared taken and disposed of between the government and the contractor according to the following incremental scale average daily production of crude oil from the contractentitycarentityquantity 000 barrels per day bpd x governmententitycarentitycardinal contractor next numericvalue bpd x entitycarentitycardinalment x contractor next 20 0entitycarentitycardinal x government x contractorentitycarentitycardinalt numericvalue bpd x government x entitypersonntractoentitentitycardinal 000 bpd x government x contractor any volume over the first 100 0entitydaternment x contractor the balance of natural gas remaining in any calendar year after deduction of royalty payments and after recoverable petroleum operations costs have been satisfied shall be shared taken and disposed of between the government and the contractor according to the followentityorentityquantity average daily production of naturaentitycardinalontract area first numericvalue million cubic foot per daentitywork oentityquantityx contractor next numericvalue million cubicentitydatentityquantityovernment x contractor next numericvalue entitypersonentityquantity government x contractor next numericvalue million cubic foot per day x government x contractor greater than numericvalue million cubic foot per day x government x contractor ,1472
1974,ocds-591adf-9402339008,Governing law,stabilization,the laws and regulations in force in entitygpe and the provisions of international law as may be applicable to international oil and gas activities shall apply to the contractor to this contract and to the operations which are the purpose thereof unless otherwise provided by the contract ,289
1997,ocds-591adf-7143693099,Income tax: rate,royalties,entityorentitypersonsource shall be required to pay under the conditions and the due dates establientitynorpthe beninese tax legislation all the taxes and duties to which it is subject in particular inentitypercentax equal to percentvalue of the taxable profit and the export reventitypercent at the rate of percentvalue of the free on board value ,348
1998,ocds-591adf-7143693099,Other - financial/fiscal,royalties,entityorentitypersonsource shall be released from any tax obligations which by definition are included in the profit oil received by the government as well as in the oil production tax also received by the gentityorentityorgnd abacan resource and their subcontractors shall be also exempt from the vat value added tax on the activities strictly related to the petroleum operations from the franchentitydate for a period of numericvalue years from the surface royalties and from social security contributions for expatriate personnel ,533
2025,ocds-591adf-7120819444,"Production Share - ""Profit Oil features (triggers for variations in split - IRR, factor, production, etc .)",royalties,any petroleum not taken by as royalty or recoverable cost petroleum shall be shared as entitypeentityloentitypeentitylocd percentvalue by timor sea numericvalue companies ,171
2168,ocds-591adf-7082927540,Income tax: exemptions,stabilization,the government intends to present to entityorg region a law s to authorize the government by contract or other authorization to exempt investors in long term projects relating to the conduct of petroleum operations ientitygpedistan entitygpeom kurdistan region taxation to guarantee the stability of the applicable legal fiscal and economic conditions of such projects ,369
2203,ocds-591adf-7382402375,Income tax: exemptions,royalties,exon rations g n rales des droits imp ts taxes et redevances l exception de ceux mentionn s l article entitycardentientityorgentitycardinal imp t bic pour numericvalue ans compter de la premi re pentitypercentale 8entitycardinentitypersonentitycardinalnt l article numericvalue du code minier plus numericvalue ann es suppl mentaires ,334
2204,ocds-591adf-7382402375,Training,royalties,entityperson formation du personnel guin en en vue de permettre l accession aux postes de cadres contribution la formation au taux de percentvalue employentitygpeguientityperson hors guin e sauf si la soci t dispose de son propre centre de formaentitygpeermanent en guin e ,273
2205,ocds-591adf-7382402375,"Protections or benefits for employees, dependents, or others",stabilization,conform ment la l gislation en vigueur les salari s trangers sont exon r s ,75
2206,ocds-591adf-7382402375,Withholding tax,royalties,versement forfaitaire au taux de entitypercent contribution la formation au taux de percentvalue employentitygpeguientityperson hors guin e sauf si la soci t dispose de son propre centre de formaentitentitypersonanent en guin e retenue rts par applentitypeentitypersonntion du bar me en vigueur percentvalue les int r ts aux pr ts bancaires ou autres contract s par la soci t pour le financement du projet sont toutefoentitypercenton r s de toute retenue la sourcentitycardinal10 entitypersone salari s journe moins de numericvalue jours par ann e civile ,555
2208,ocds-591adf-7382402375,Other - financial/fiscal,stabilization,entityperson dispositions fiscales sont g n ralement aussi applicableentitygpesseurs et sous traitants directs exon ration pour l acquisition de biens et services n cessaires aux op rations mini res si suentityperson la soci t aussi bien l investisseur que les sous traitants directs peut l imputer par voie de d duction ou se faire rembourser ,344
2209,ocds-591adf-7382402375,Custom duties,royalties,admission temporaire exon ration pour quipements mat riels gros outillages engins pi ces d tach es et lubrifiants entitydate la taxe d enregistrement au taux de percentvalue de la ventityorgur caf avec un plafond maximum entityfacdes finances les mati res premi res et consommables n cessaires entitypersonextraction et la valorisation du produit minier sont tax s l importation au taentityorgde percentvalue de la valeur fob taxe l importationentityorg taux de percentvalue de la valeur fob ,492
2213,ocds-591adf-7382402375,Income tax: rate,royalties,assujetti l imp t sur les entityorg et commercentityorgx bic l exclusion de tous autres imp ts sur les b n fices en raison de la r alisation dentitypersonkry kankan le taux de bic applicable au b n fice nentitypercentaxable est de percentvalue b n fice imposable d terentityperson entitypersonl des imp ts et du code minier entityorgve des sp cificit s de la convention ,370
2214,ocds-591adf-7382402375,Confidentiality,royalties,entityorg n est pas confidentielle et tous les rapports plans et informations fournis pentitygpeoci t en vertu de la convention l etat sont sauf si sp cifi autrement des documents de nature publique certaines affaires sont sp cifiquement identifi es comme non confidentielles incluant les quantit s de production les emplois offerts les redevances et paiement des taxes etc ,374
2216,ocds-591adf-7382402375,Governing law,stabilization,les entityperson en r publique de guin e en cas de contradiction divergence ententityfacigueur et la convention les dispositions de la convention l emportent ,158
2230,ocds-591adf-7304502537,Surface fees or rent,royalties,entityorg est assujetti au paiement de taxes superficiaires annuelles tablies en fonction de la surfaentitypeentitypersonnpermis les montants sont determin s conform ment a la r glementation miniere en la matiere ,213
2238,ocds-591adf-7382402375,Term,stabilization,entr e en vigueur la date de l approbation de la convention par ordonnance avec une dur e de validit gale celle de la concession i e entitycardinal ans renouvelable ,165
2252,ocds-591adf-7450628171,State participation,royalties,participation de entitypercent l etat titre gratuit dans la soci t d exploitation participation entityorgopamin en num raire hauteur de percentvalue au maximum du capital ,171
2255,ocds-591adf-7450628171,Infrastructure,stabilization,entityorg la soci t d exploitation utilise la route taentityperson arlit elle s engage participer son entretien pour la maintenir en bon tat ,141
2257,ocds-591adf-7450628171,Income tax: rate,stabilization,la soci t d exploitation est assujettie l imp t calcul conform ment la l gislation en vigueur ,94
2259,ocds-591adf-7450628171,Environmental impact assessment and management plan,stabilization,la soci t devra r aliser une tude d impact conform ment la l gislation en vigueur qui fera partie int grante de l tude de faisabilit ,133
2286,ocds-591adf-7392828771,Governing law,stabilization,this contract should be interpreted in accordance with generally accepted principles of international law applicable to investments by nationals of entitycardinal country in another country in case of conflict between this contract and applicable international law the provisions of this contract will govern the rights and obligations of the parties ,351
